[INFO][2020-09-19 22:59:20,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:59:20 CST 2020
[INFO][2020-09-19 22:59:30,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:59:30 CST 2020
[INFO][2020-09-19 22:59:30,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:59:30 CST 2020
[INFO][2020-09-19 22:59:40,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:59:40 CST 2020
[INFO][2020-09-19 22:59:40,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:59:40 CST 2020
[INFO][2020-09-19 22:59:50,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 22:59:50 CST 2020
[INFO][2020-09-19 22:59:50,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 22:59:50 CST 2020
[INFO][2020-09-19 23:00:00,007][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 23:00:00 CST 2020
[INFO][2020-09-19 23:00:00,008][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 23:00:00 CST 2020
[INFO][2020-09-19 23:00:10,000][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 23:00:10 CST 2020
[INFO][2020-09-19 23:00:10,000][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 23:00:10 CST 2020
[INFO][2020-09-19 23:00:20,000][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 23:00:20 CST 2020
[INFO][2020-09-19 23:00:20,000][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 23:00:20 CST 2020
[INFO][2020-09-19 23:00:30,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 23:00:30 CST 2020
[INFO][2020-09-19 23:00:30,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 23:00:30 CST 2020
[INFO][2020-09-19 23:00:40,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 23:00:40 CST 2020
[INFO][2020-09-19 23:00:40,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 23:00:40 CST 2020
[INFO][2020-09-19 23:00:50,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 23:00:50 CST 2020
[INFO][2020-09-19 23:00:50,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 23:00:50 CST 2020
[INFO][2020-09-19 23:01:00,007][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 23:01:00 CST 2020
[INFO][2020-09-19 23:01:00,008][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 23:01:00 CST 2020
[INFO][2020-09-19 23:01:10,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 23:01:10 CST 2020
[INFO][2020-09-19 23:01:10,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 23:01:10 CST 2020
[INFO][2020-09-19 23:01:20,000][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 23:01:20 CST 2020
[INFO][2020-09-19 23:01:20,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 23:01:20 CST 2020
[INFO][2020-09-19 23:01:30,097][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 23:01:30 CST 2020
[INFO][2020-09-19 23:01:30,157][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 23:01:30 CST 2020
[INFO][2020-09-19 23:01:40,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 23:01:40 CST 2020
[INFO][2020-09-19 23:01:40,001][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 23:01:40 CST 2020
[INFO][2020-09-19 23:01:50,002][com.huanletao.huanletao.task.TaskCompeteOrder]定时完成买家未完成的订单任务。时间：{}Sat Sep 19 23:01:50 CST 2020
[INFO][2020-09-19 23:01:50,003][com.huanletao.huanletao.task.TaskCompeteOrder]定时生成订单对账文件任务。时间：{}Sat Sep 19 23:01:50 CST 2020
